,activePlaceCount,birthYear,date,fc,gender,id,mda,movements,startLetter,totalWorks,url,birth.place.name,birth.place.placeName,birth.place.placeType,birth.time.startYear,death.place.name,death.place.placeName,death.place.placeType,death.time.startYear,json_path,dict,dict_sub,dict_sub_sub,file_name,activePlaces
1668,1,1898.0,1898–1976,John McLaughlin,Male,2787,"McLaughlin, John",[],M,1,http://www.tate.org.uk/art/artists/john-mclaughlin-2787,"Sharon, United States",Sharon,inhabited_place,1898.0,"Dana Point, United States",Dana Point,inhabited_place,1976.0,clone/artists/m/mclaughlin-john-2787.json,clone,artists,m,mclaughlin-john-2787.json,"[{'name': 'Los Angeles, United States', 'placeName': 'Los Angeles', 'placeType': 'inhabited_place'}]"
1669,0,1956.0,born 1956,Christina Mackie,Female,9555,"Mackie, Christina",[],M,4,http://www.tate.org.uk/art/artists/christina-mackie-9555,Canada,Canada,nation,1956.0,,,,,clone/artists/m/mackie-christina-9555.json,clone,artists,m,mackie-christina-9555.json,
1670,1,1898.0,1898–1931,Abraham Mintchine,Male,1643,"Mintchine, Abraham",[],M,1,http://www.tate.org.uk/art/artists/abraham-mintchine-1643,"Kiyev, Ukrayina",Kiyev,inhabited_place,1898.0,"La Garde, France",La Garde,inhabited_place,1931.0,clone/artists/m/mintchine-abraham-1643.json,clone,artists,m,mintchine-abraham-1643.json,"[{'name': 'France', 'placeName': 'France', 'placeType': 'nation'}]"
1671,0,1973.0,born 1973,David Musgrave,Male,6241,"Musgrave, David",[],M,4,http://www.tate.org.uk/art/artists/david-musgrave-6241,"London, United Kingdom",London,inhabited_place,1973.0,,,,,clone/artists/m/musgrave-david-6241.json,clone,artists,m,musgrave-david-6241.json,
1672,0,1903.0,1903–1971,E.L.T. Mesens,Male,1624,"Mesens, E.L.T.","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 1688, 'name': 'British Surrealism'}]",M,4,http://www.tate.org.uk/art/artists/elt-mesens-1624,"Bruxelles, België",Bruxelles,inhabited_place,1903.0,"London, United Kingdom",London,inhabited_place,1971.0,clone/artists/m/mesens-elt-1624.json,clone,artists,m,mesens-elt-1624.json,
1673,0,1889.0,1889–1947,Arturo Martini,Male,2338,"Martini, Arturo","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 16138, 'name': 'Scuola Romana'}]",M,1,http://www.tate.org.uk/art/artists/arturo-martini-2338,"Treviso, Italia",Treviso,inhabited_place,1889.0,"Milano, Italia",Milano,inhabited_place,1947.0,clone/artists/m/martini-arturo-2338.json,clone,artists,m,martini-arturo-2338.json,
1674,0,1956.0,born 1956,David Mach,Male,1540,"Mach, David","[{'era': {'id': 415, 'name': '20th century post-1945'}, 'id': 1682, 'name': 'New British Sculpture'}]",M,2,http://www.tate.org.uk/art/artists/david-mach-1540,"Methil, United Kingdom",Methil,inhabited_place,1956.0,,,,,clone/artists/m/mach-david-1540.json,clone,artists,m,mach-david-1540.json,
1675,0,1918.0,1918–2002,Klaus Meyer,Male,6872,"Meyer, Klaus",[],M,15,http://www.tate.org.uk/art/artists/klaus-meyer-6872,"Berlin, Deutschland",Berlin,inhabited_place,1918.0,,,,2002.0,clone/artists/m/meyer-klaus-6872.json,clone,artists,m,meyer-klaus-6872.json,
1676,0,1879.0,1879–1945,James Bolivar Manson,Male,1570,"Manson, James Bolivar","[{'era': {'id': 8, 'name': '20th century 1900-1945'}, 'id': 297, 'name': 'Camden Town Group'}]",M,3,http://www.tate.org.uk/art/artists/james-bolivar-manson-1570,"London, United Kingdom",London,inhabited_place,1879.0,"London, United Kingdom",London,inhabited_place,1945.0,clone/artists/m/manson-james-bolivar-1570.json,clone,artists,m,manson-james-bolivar-1570.json,
1677,0,1972.0,born 1972,Wangechi Mutu,Female,7677,"Mutu, Wangechi",[],M,1,http://www.tate.org.uk/art/artists/wangechi-mutu-7677,"Nairobi, Kenya",Nairobi,inhabited_place,1972.0,,,,,clone/artists/m/mutu-wangechi-7677.json,clone,artists,m,mutu-wangechi-7677.json,
