moma_artist_id,artist_name,nationality,gender,born,dead
296,Mikal Baker,American,male,1946,
298,Vagrich Bakhchanyan,Russian,male,1938,2009.0
299,Gerhard H. Bakker,American,male,1906,1988.0
300,Léon Bakst,Russian,male,1866,1924.0
301,Gerard Baksteen,Dutch,male,1887,1976.0
302,Amèrico Balán,Argentine,male,1915,1986.0
303,Jirí Balcar,Czech,male,1929,1968.0
304,John Baldessari,American,male,1931,2020.0
305,George Baldessin,Australian,male,1939,1978.0
307,C. Leroy Baldridge,American,male,1889,1975.0
308,Édouard-Denis Baldus,French,male,1813,1882.0
309,Benjamin Baldwin,American,male,1913,1993.0
310,Joost Baljeu,Dutch,male,1925,1991.0
311,Giacomo Balla,Italian,male,1871,1958.0
313,R. Maxil Ballinger,American,male,1914,1958.0
314,Theo H. Ballmer,Swiss,male,1902,1965.0
315,Alexander Bally,American,male,1938,
316,John F. Balossi,American,male,1931,2007.0
317,Balthus (Baltusz Klossowski de Rola),French,male,1908,2001.0
318,Lewis Baltz,American,male,1945,2014.0
319,Thomas Bamberger,American,male,1948,
320,McDonald (Mackey Jeffries) Bane,American,female,1928,
321,Colette Bangert,American,female,1934,
322,Walter Darby Bannard,American,male,1934,2016.0
323,John Banting,British,male,1902,1972.0
324,Rudolf Baranik,American,male,1920,1998.0
325,Vladimir Baranoff-Rossiné,Ukrainian,male,1888,1944.0
327,Anthony Barboza,American,male,1944,
329,Miquel Barcelo,Spanish,male,1957,
330,Peter Bardazzi,American,male,1943,
331,Jules-Jean-Antoine Baric,French,male,1825,1905.0
332,Richard Baringer,American,male,1921,1980.0
333,George Barker,Australian,male,1942,
334,Walter William Barker,American,male,1921,2004.0
335,Ernst Barlach,German,male,1870,1938.0
336,George N. Barnard,American,male,1819,1902.0
337,Cyril H. Barnes,American,male,,
338,Matthew Rackham Barnes,American,male,1880,1951.0
339,Robert Barnes,American,male,1934,
342,Will Barnet,American,male,1911,2012.0
343,Tina Barney,American,female,1945,
344,Hannelore Baron,American,female,1926,1987.0
345,Martin Barooshian,American,male,1929,
347,Steve Barraclough,British,male,,
348,Maurice Barraud,Swiss,male,1889,1955.0
349,Susan Barron,American,female,1947,
350,Thomas F. Barrow,American,male,1938,
351,David Francis Barry,American,male,1854,1934.0
352,Robert Barry,American,male,1936,
353,Robert Bart,American,male,1923,
354,Frances Barth,American,female,1946,
355,Ruodi Barth,Swiss,male,1921,1999.0
356,"Ralph Bartholomew, Jr.",American,male,1907,1985.0
357,Jennifer Bartlett,American,female,1941,2022.0
358,Robert Bartlett,British,male,1922,1979.0
359,Carlo Bartoli,Italian,male,1931,
360,Luigi Bartolini,Italian,male,1892,1963.0
361,Joseph Bartscherer,American,male,1954,
362,Gianfranco Baruchello,Italian,male,1924,
363,Héctor Basaldua,Argentine,male,1895,1976.0
364,Bernard Baschet,French,male,1917,2015.0
365,François Baschet,French,male,1920,2014.0
366,Georg Baselitz,German,male,1938,
368,Mati Basis,Israeli,male,1933,
369,Leonard Baskin,American,male,1922,2000.0
370,Jean-Michel Basquiat,American,male,1960,1988.0
371,Joel Bass,American,male,1943,
372,Saul Bass,American,male,1920,1996.0
373,Giampiero Bassi,Italian,,1926,
374,Miriam Bat-Yosef,German,female,1931,
375,Georges Bataille,French,male,1897,1962.0
377,Josef Bato,Hungarian,male,1888,1966.0
378,John Battan,American,male,1943,1976.0
379,Wall Batterton,British,male,1932,
380,Dora M. Batty,British,female,1900,1966.0
381,Eugen Batz,German,male,1905,1986.0
382,"Harry W. Batz, Jr.",American,male,,
383,André Bauchant,French,male,1873,1958.0
384,Karl Bauer,German,male,1868,1942.0
385,Rudolph Bauer,American,male,1889,1954.0
386,Mary Bauermeister,American,female,1934,
387,Bauhaus,German,,,
388,Marilyn Baum,American,female,1939,
390,Hans Theo Baumann,German,male,1924,
391,Otto Baumberger,Swiss,male,1889,1961.0
392,Willi Baumeister,German,male,1889,1955.0
393,Lothar Baumgarten,German,male,1944,2018.0
395,Edward Bawden,British,male,1903,1989.0
396,Glen Baxter,British,male,,
397,Iain Baxter&,Canadian,male,1936,
398,Hippolyte Bayard,French,male,1801,1887.0
399,Herbert Bayer,American,male,1900,1985.0
401,Ed Baynard,American,male,1940,
402,Thomas Bayrle,German,male,1937,
403,Douglas Baz,American,male,1943,
404,Jean Bazaine,French,male,1904,2001.0
405,Castera Bazile,Haitian,male,1923,1966.0
406,William Baziotes,American,male,1912,1963.0
407,Gifford Beal,American,male,1879,1956.0
408,Jack Beal,American,male,1931,2013.0
409,Lester Beall,American,male,1903,1969.0
411,Mark Beard,American,male,1956,
412,Romare Bearden,American,male,1911,1988.0
413,Aubrey Beardsley,British,male,1872,1898.0
414,Bruce Beasley,American,male,1939,
415,Beath,British,,1913,1991.0
416,Felice Beato,Italian,male,1825,1903.0
417,Cecil Beaton,British,male,1904,1980.0
418,Leslie Beaton,American,female,,
420,André Beaudin,French,male,1895,1975.0
421,Alessandro Becchi,Italian,male,1946,
422,Bernd Becher,German,male,1931,2007.0
423,Thelma Becherer,American,female,1916,2008.0
424,Robert Bechtle,American,male,1932,2020.0
425,Gustav K. Beck,Austrian,male,1902,1983.0
426,A. Becker,German,,,
427,Fred Becker,American,male,1913,2004.0
428,Bill Beckley,American,male,1946,
429,Max Beckmann,German,male,1884,1950.0
430,Francis Bedford,British,male,1816,1894.0
431,René Beeh,German,male,1886,1922.0
432,Jan Bontjes van Beek,German,male,1899,1969.0
433,Chris Hendrik Beekman,Dutch,male,1887,1964.0
434,Max Beerbohm,British,male,1872,1956.0
436,Hedda Beese,German,female,1944,
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,,,1949.0
438,Peter Behrens,German,male,1868,1940.0
439,Edith Behring,Brazilian,female,1916,1996.0
440,John Behringer,American,male,1939,
441,J. J. Beljon,Dutch,male,1922,2002.0
442,Alistair Macready Bell,Canadian,male,1913,1997.0
443,Charles M. Bell,American,male,1848,1893.0
444,Larry Bell,American,male,1939,
445,Vanessa Bell,British,female,1879,1961.0
446,William H. Bell,American,male,1830,1910.0
447,Ross Bellah,American,male,1907,2004.0
448,Joseph Bellanca,American,male,1930,2013.0
449,John Bellany,British,male,1942,2013.0
450,Rudolf Belling,German,male,1886,1972.0
451,Mario Bellini,Italian,male,1935,
452,Hans Bellmer,German,male,1902,1975.0
453,Ernest J. Bellocq,American,male,1873,1949.0
455,George Bellows,American,male,1882,1925.0
456,Rossella Bellusci,Italian,female,1947,
457,Giandomenico Belotti,Italian,male,1922,
458,Christian Belpaire,Congolese,male,1949,2003.0
459,Antoli Pawlowitsch Belski,Russian,male,1896,1971.0
461,David Ben Shaul,Israeli,male,,
462,Ahron Ben-Shmuel,American,male,1903,1984.0
463,Ben-Zion,American,male,1897,1987.0
464,Adolf Benca,American,male,1959,
465,W. T. Benda,American,male,1873,1948.0
466,C. Whitney Bender,American,,1929,
467,Niels Sylvester Bendtsen,Danish,male,1943,
468,Nair Benedicto,Brazilian,female,1940,
469,Luis Fernando Benedit,Argentine,male,1937,2011.0
470,G. A. Beneker,American,male,1882,1934.0
471,Lynda Benglis,American,female,1941,
472,Billy Al Bengston,American,male,1934,2022.0
473,Jim Bengston,American,male,1942,
474,Anthony Benjamin,British,male,,
475,Gordon Bennett,American,male,1933,2012.0
476,Henry Hamilton Bennett,American,male,1843,1908.0
478,Ward Bennett,American,male,1917,2003.0
481,David Bentley,American,male,1938,
482,Nicholas Bentley,British,male,1907,1978.0
483,Thomas Hart Benton,American,male,1889,1975.0
484,Roloff Beny,Canadian,male,1924,1984.0
485,Etienne (Istvan) Béothy,Hungarian,male,1897,1962.0
486,Christian Bérard,French,male,1902,1949.0
487,Roberto Berdecio,Bolivian,male,1913,1996.0
488,Vera Berdich,American,female,1915,2003.0
489,Ed Bereal,American,male,1937,
490,Stephen Lynn Berens,American,male,1952,
491,Berger (?),British,,1938,
492,Charles Berger,American,male,1943,
493,Jason Berger,American,male,1924,2010.0
495,Hagbard Elis Bergh,Swedish,male,1881,1954.0
496,Håkan Bergkvist,Swedish,male,1946,
